Date,EW_Large_NoDiv,EW_Large_WithDiv,EW_Small_NoDiv,EW_Small_WithDiv
1980-04-17,0.0015505773141573055,0.0015506285018494815,-0.057158883664906034,-0.05715883890393141
1980-04-18,-0.008111025145121836,-0.00811107808001562,0.0,0.0
1980-04-21,-0.006130232383979179,-0.006130240232725801,-0.060624010430456045,-0.06062413223382759
1980-04-22,0.037305276265227894,0.03730530195479424,0.0,0.0
1980-04-23,0.010501510145399314,0.01050153848927597,0.0,0.0
1980-04-24,0.01849609048817595,0.018496001083585588,-0.03174898600312857,-0.03174877948317298
1980-04-25,-0.002417937387496822,-0.0024177760018226123,0.0,0.0
1980-04-28,0.006170634525217126,0.006170542288248317,0.0,0.0
1980-04-29,-0.0033915263368715022,-0.0033914185642270477,0.0,0.0
1980-04-30,0.0005674854375790717,0.000567356774523197,0.0,0.0
1980-05-01,-0.004901654734140361,-0.004901723978806893,0.0,0.0
1980-05-02,0.0032665249636313082,0.003266497844231785,0.06252084989946124,0.06252088978018125
1980-05-05,0.01598669717745093,0.01598670806126195,0.0,0.0
1980-05-06,0.009840929262875943,0.009840985317654538,0.029852146534123276,0.029852021936819323
1980-05-07,0.008385308631282716,0.0100088263812534,0.0,0.0
1980-05-08,-0.008987924188196035,-0.008988035688112954,0.028987747843718912,0.028988507580327623
1980-05-09,-0.010988990588391813,-0.010989021872481585,-0.028987747843718888,-0.028988507580327668
1980-05-12,-0.0037004573951549954,-0.0028779743571350045,-0.0298521465341234,-0.029852021936819427
1980-05-13,0.009635821997238394,0.009635883993325618,0.0,0.0
1980-05-14,0.008923133613104156,0.008922947785764175,0.029852146534123276,0.029852021936819323
