Date,SPY_Volume,SPY_Volume_Change
2020-09-23,93112200,0.38100151376535507
2020-09-24,76681300,-0.19414734598119665
2020-09-25,71069400,-0.07600100718461178
2020-09-28,64584600,-0.09568087214617194
2020-09-29,51304000,-0.23020727042968048
2020-09-30,104081100,0.7074016810950745
2020-10-01,88698700,-0.15992516987781258
2020-10-02,89431100,0.008223263341619713
2020-10-05,45713100,-0.671083587503368
2020-10-06,90128900,0.6788559589984011
2020-10-07,56999600,-0.45819661763441033
2020-10-08,45242500,-0.23100733971384813
2020-10-09,59528600,0.2744199587823637
2020-10-12,80388500,0.30041426179401043
2020-10-13,73255500,-0.09291780072594591
2020-10-14,57727900,-0.23821273822563072
2020-10-15,60357700,0.04454793629152576
2020-10-16,89501900,0.3939713256372137
2020-10-19,68425600,-0.26851283049257546
2020-10-20,60051900,-0.13053783528798135
2020-10-21,63575000,0.05701112298298483
2020-10-22,55399300,-0.1376533530138353
2020-10-23,49143900,-0.11981422927119212
2020-10-26,91473000,0.6212911177458551
2020-10-27,65994100,-0.3264785026778547
2020-10-28,127094300,0.6553639865211167
2020-10-29,90597700,-0.3385005041990432
2020-10-30,120287300,0.2834542215847513
2020-11-02,86068300,-0.33474188089682855
2020-11-03,93294200,0.08061677376086962
2020-11-04,126959700,0.30811177240437715
2020-11-05,82039700,-0.43666643682171014
2020-11-06,74973000,-0.09007522772393628
2020-11-09,172304200,0.8321334706042549
2020-11-10,85552000,-0.7001371411186312
2020-11-11,58649000,-0.37755385355063
2020-11-12,67546200,0.14124128354190546
2020-11-13,62892200,-0.07138965853998158
2020-11-16,74541100,0.16992850146191074
2020-11-17,66111000,-0.12001550358385416
2020-11-18,70591300,0.06557175990833741
2020-11-19,59940900,-0.16354783065325762
2020-11-20,70417300,0.1610798948207588
2020-11-23,63230600,-0.10765061041952961
2020-11-24,62415900,-0.012968310582312625
2020-11-25,45330900,-0.3198311314530038
2020-11-27,28514100,-0.46359021738193107
2020-11-30,83872700,1.0789014713825047
2020-12-01,74231400,-0.12211293190662076
2020-12-02,45927000,-0.48013406183261864
2020-12-03,62882000,0.31420677481285253
2020-12-04,50749900,-0.21435030675430156
2020-12-07,48944300,-0.03622673063277304
2020-12-08,42458900,-0.14214636764005917
2020-12-09,74098300,0.5568560408647869
2020-12-10,57735400,-0.2495220864822798
2020-12-11,57698600,-0.0006375937981317747
2020-12-14,69216200,0.18200202948364108
2020-12-15,63865300,-0.08045876137948582
2020-12-16,58420500,-0.0891093222565651
2020-12-17,64119500,0.09308167419623459
2020-12-18,136542300,0.7558859268969087
2020-12-21,96386700,-0.34826623143565527
2020-12-22,47949000,-0.6982302792386008
2020-12-23,46201400,-0.03712784539575864
2020-12-24,26457900,-0.5574553102009965
2020-12-28,39000400,0.38801711202943423
2020-12-29,53680500,0.31947790458877634
2020-12-30,49455300,-0.08198057578195872
2020-12-31,78520700,0.4622930530005327
2021-01-04,110210800,0.33903261125188067
2021-01-05,66426200,-0.5063033385764442
2021-01-06,107997700,0.4860183736310617
2021-01-07,68766800,-0.45138886027003977
2021-01-08,71677200,0.04145163507260108
2021-01-11,51034700,-0.33966691188433273
2021-01-12,52547700,0.029215535005587157
2021-01-13,45303600,-0.14833482899489425
2021-01-14,49989100,0.09841848213261883
2021-01-15,107160000,0.7625180630137152
2021-01-19,51233300,-0.7379333334182689
2021-01-20,61836100,0.18809762505556904
2021-01-21,47840100,-0.25662313637251444
2021-01-22,52860500,0.09979216813837866
2021-01-25,70402000,0.2865653037718019
2021-01-26,42665300,-0.5008357283628797
2021-01-27,123351100,1.061648817160929
2021-01-28,94198100,-0.2696347491219022
2021-01-29,126765100,0.2969357559979997
2021-02-01,75817600,-0.5140053118555024
2021-02-02,64450700,-0.16242986521114489
2021-02-03,52427100,-0.20647695724855453
2021-02-04,47142600,-0.10624658236543993
